2023-10-29 14:25:16,828 INFO    StreamThr :9560 [internal.py:wandb_internal():86] W&B internal server running at pid: 9560, started at: 2023-10-29 14:25:16.828244
2023-10-29 14:25:16,829 DEBUG   HandlerThread:9560 [handler.py:handle_request():144] handle_request: status
2023-10-29 14:25:16,829 INFO    WriterThread:9560 [datastore.py:open_for_write():85] open: C:\Users\tobia\Documents\GitHub\RNN_Tobia_Simmler\wandb\run-20231029_142516-a7ppqrmc\run-a7ppqrmc.wandb
2023-10-29 14:25:16,831 DEBUG   SenderThread:9560 [sender.py:send():375] send: header
2023-10-29 14:25:16,947 DEBUG   SenderThread:9560 [sender.py:send():375] send: run
2023-10-29 14:25:17,451 INFO    SenderThread:9560 [dir_watcher.py:__init__():219] watching files in: C:\Users\tobia\Documents\GitHub\RNN_Tobia_Simmler\wandb\run-20231029_142516-a7ppqrmc\files
2023-10-29 14:25:17,451 INFO    SenderThread:9560 [sender.py:_start_run_threads():1124] run started: a7ppqrmc with start time 1698585916.828244
2023-10-29 14:25:17,451 DEBUG   SenderThread:9560 [sender.py:send_request():402] send_request: summary_record
2023-10-29 14:25:17,452 INFO    SenderThread:9560 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-10-29 14:25:17,453 DEBUG   HandlerThread:9560 [handler.py:handle_request():144] handle_request: check_version
2023-10-29 14:25:17,453 DEBUG   SenderThread:9560 [sender.py:send_request():402] send_request: check_version
2023-10-29 14:25:17,653 DEBUG   HandlerThread:9560 [handler.py:handle_request():144] handle_request: run_start
2023-10-29 14:25:17,660 DEBUG   HandlerThread:9560 [system_info.py:__init__():31] System info init
2023-10-29 14:25:17,660 DEBUG   HandlerThread:9560 [system_info.py:__init__():46] System info init done
2023-10-29 14:25:17,660 INFO    HandlerThread:9560 [system_monitor.py:start():181] Starting system monitor
2023-10-29 14:25:17,660 INFO    SystemMonitor:9560 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-10-29 14:25:17,660 INFO    HandlerThread:9560 [system_monitor.py:probe():201] Collecting system info
2023-10-29 14:25:17,664 INFO    SystemMonitor:9560 [interfaces.py:start():190] Started cpu monitoring
2023-10-29 14:25:17,665 DEBUG   HandlerThread:9560 [system_info.py:probe():195] Probing system
2023-10-29 14:25:17,665 INFO    SystemMonitor:9560 [interfaces.py:start():190] Started disk monitoring
2023-10-29 14:25:17,668 INFO    SystemMonitor:9560 [interfaces.py:start():190] Started memory monitoring
2023-10-29 14:25:17,674 INFO    SystemMonitor:9560 [interfaces.py:start():190] Started network monitoring
2023-10-29 14:25:17,675 DEBUG   HandlerThread:9560 [system_info.py:_probe_git():180] Probing git
2023-10-29 14:25:17,713 DEBUG   HandlerThread:9560 [system_info.py:_probe_git():188] Probing git done
2023-10-29 14:25:17,713 DEBUG   HandlerThread:9560 [system_info.py:probe():240] Probing system done
