2023-11-04 13:34:46,092 INFO    StreamThr :24548 [internal.py:wandb_internal():86] W&B internal server running at pid: 24548, started at: 2023-11-04 13:34:46.092636
2023-11-04 13:34:46,093 DEBUG   HandlerThread:24548 [handler.py:handle_request():144] handle_request: status
2023-11-04 13:34:46,094 INFO    WriterThread:24548 [datastore.py:open_for_write():85] open: C:\Users\tobia\Documents\GitHub\RNN_Tobia_Simmler\wandb\run-20231104_133446-b5gb3x5c\run-b5gb3x5c.wandb
2023-11-04 13:34:46,095 DEBUG   SenderThread:24548 [sender.py:send():375] send: header
2023-11-04 13:34:46,225 DEBUG   SenderThread:24548 [sender.py:send():375] send: run
2023-11-04 13:34:46,782 INFO    SenderThread:24548 [dir_watcher.py:__init__():219] watching files in: C:\Users\tobia\Documents\GitHub\RNN_Tobia_Simmler\wandb\run-20231104_133446-b5gb3x5c\files
2023-11-04 13:34:46,782 INFO    SenderThread:24548 [sender.py:_start_run_threads():1124] run started: b5gb3x5c with start time 1699101286.092119
2023-11-04 13:34:46,782 DEBUG   SenderThread:24548 [sender.py:send_request():402] send_request: summary_record
2023-11-04 13:34:46,782 DEBUG   HandlerThread:24548 [handler.py:handle_request():144] handle_request: check_version
2023-11-04 13:34:46,782 INFO    SenderThread:24548 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-11-04 13:34:46,782 DEBUG   SenderThread:24548 [sender.py:send_request():402] send_request: check_version
2023-11-04 13:34:47,001 DEBUG   HandlerThread:24548 [handler.py:handle_request():144] handle_request: run_start
2023-11-04 13:34:47,007 DEBUG   HandlerThread:24548 [system_info.py:__init__():31] System info init
2023-11-04 13:34:47,007 DEBUG   HandlerThread:24548 [system_info.py:__init__():46] System info init done
2023-11-04 13:34:47,007 INFO    HandlerThread:24548 [system_monitor.py:start():181] Starting system monitor
2023-11-04 13:34:47,007 INFO    SystemMonitor:24548 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-11-04 13:34:47,007 INFO    HandlerThread:24548 [system_monitor.py:probe():201] Collecting system info
2023-11-04 13:34:47,011 INFO    SystemMonitor:24548 [interfaces.py:start():190] Started cpu monitoring
2023-11-04 13:34:47,014 DEBUG   HandlerThread:24548 [system_info.py:probe():195] Probing system
2023-11-04 13:34:47,014 INFO    SystemMonitor:24548 [interfaces.py:start():190] Started disk monitoring
2023-11-04 13:34:47,017 INFO    SystemMonitor:24548 [interfaces.py:start():190] Started memory monitoring
2023-11-04 13:34:47,021 INFO    SystemMonitor:24548 [interfaces.py:start():190] Started network monitoring
2023-11-04 13:34:47,022 DEBUG   HandlerThread:24548 [system_info.py:_probe_git():180] Probing git
2023-11-04 13:34:47,060 DEBUG   HandlerThread:24548 [system_info.py:_probe_git():188] Probing git done
2023-11-04 13:34:47,060 DEBUG   HandlerThread:24548 [system_info.py:probe():240] Probing system done
2023-11-04 13:34:47,060 DEBUG   HandlerThread:24548 [system_monitor.py:probe():210] {'os': 'Windows-10-10.0.22621-SP0', 'python': '3.10.11', 'heartbeatAt': '2023-11-04T12:34:47.014207', 'startedAt': '2023-11-04T12:34:46.087460', 'docker': None, 'cuda': None, 'args': ('--config', 'rnn.yaml'), 'state': 'running', 'program': 'C:\\Users\\tobia\\Documents\\GitHub\\RNN_Tobia_Simmler\\main.py', 'codePath': 'main.py', 'git': {'remote': 'https://github.com/t0b14/Semester_project_Tobia_Simmler_rnn.git', 'commit': '96feade468cab932565f645a85dd543e73777daf'}, 'email': 'simmlert@student.ethz.ch', 'root': 'C:/Users/tobia/Documents/GitHub/RNN_Tobia_Simmler', 'host': 'Aibot', 'username': 'tobia', 'executable': 'C:\\Users\\tobia\\AppData\\Local\\Programs\\Python\\Python310\\python.exe', 'cpu_count': 12, 'cpu_count_logical': 24, 'cpu_freq': {'current': 3701.0, 'min': 0.0, 'max': 3701.0}, 'cpu_freq_per_core': [{'current': 3701.0, 'min': 0.0, 'max': 3701.0}], 'disk': {'total': 1417.9636306762695, 'used': 1304.3774681091309}, 'memory': {'total': 63.13705825805664}}
2023-11-04 13:34:47,060 INFO    HandlerThread:24548 [system_monitor.py:probe():211] Finished collecting system info
2023-11-04 13:34:47,060 INFO    HandlerThread:24548 [system_monitor.py:probe():214] Publishing system info
2023-11-04 13:34:47,060 DEBUG   HandlerThread:24548 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-11-04 13:34:47,060 DEBUG   HandlerThread:24548 [system_info.py:_save_pip():67] Saving pip packages done
2023-11-04 13:34:47,061 INFO    HandlerThread:24548 [system_monitor.py:probe():216] Finished publishing system info
